time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,103,0,0,0
1,103,0,0,0
2,103,0,0,0
3,103,0,0,0
4,103,0,0,0
5,103,0,0,0
6,103,0,0,0
7,103,0,0,0
8,103,0,0,0
9,103,0,0,0
10,103,0,0,0
11,103,0,0,0
12,103,0,0,0
13,103,0,0,0
14,103,0,0,0
15,103,0,0,0
16,103,0,0,0
17,103,0,0,0
18,103,0,0,0
19,103,0,0,0
20,103,0,0,0
21,103,0,0,0
22,103,0,0,0
23,103,0,0,0
24,103,0,0,0
25,103,0,0,0
26,103,0,0,0
27,103,0,0,0
28,103,0,0,0
29,103,0,0,0
30,103,0,0,0
31,103,0,0,0
32,103,0,0,0
33,103,0,0,0
34,103,0,0,0
35,103,0,0,0
36,103,0,0,0
37,103,0,0,0
38,103,0,0,0
39,103,0,0,0
40,103,0,0,0
41,103,0,0,0
42,103,0,0,0
43,103,0,0,0
44,103,0,0,0
45,103,0,0,0
46,103,0,0,0
47,103,1,1,0
48,103,1,1,0
49,103,1,1,0
50,103,1,1,0
51,103,1,1,0
52,103,1,1,0
53,103,2,2,0
54,103,2,2,0
55,103,1,2,1
56,103,2,3,1
57,103,4,5,1
58,103,4,5,1
59,103,4,5,1
60,103,3,5,2
61,103,4,6,2
62,103,4,6,2
63,103,6,8,2
64,103,7,9,2
65,103,6,9,3
66,103,7,10,3
67,103,9,12,3
68,103,10,13,3
69,103,11,14,3
70,103,13,17,3
71,103,13,18,3
72,103,14,21,5
73,103,17,24,5
74,103,21,28,5
75,103,24,32,5
76,103,33,41,5
77,103,31,43,7
78,103,39,52,7
79,103,49,62,7
80,103,61,76,9
81,103,75,93,11
82,103,86,108,14
83,103,110,137,18
84,103,126,158,20
85,103,149,183,22
86,103,175,213,24
87,103,203,249,30
88,103,246,299,37
89,103,290,350,42
90,103,337,416,57
91,103,394,482,65
92,103,453,561,78
93,103,539,663,86
94,103,609,757,103
95,103,663,848,127
96,103,758,971,149
97,103,813,1079,184
98,103,893,1197,209
99,103,970,1325,249
