time,TractID,Symptomatic,Cummulative Symptomatic,Dead
0,106,0,0,0
1,106,0,0,0
2,106,0,0,0
3,106,0,0,0
4,106,0,0,0
5,106,0,0,0
6,106,0,0,0
7,106,0,0,0
8,106,0,0,0
9,106,0,0,0
10,106,0,0,0
11,106,0,0,0
12,106,1,1,0
13,106,1,1,0
14,106,1,1,0
15,106,1,1,0
16,106,1,1,0
17,106,1,1,0
18,106,0,1,1
19,106,0,1,1
20,106,0,1,1
21,106,0,1,1
22,106,0,1,1
23,106,0,1,1
24,106,1,2,1
25,106,1,2,1
26,106,1,2,1
27,106,1,2,1
28,106,1,2,1
29,106,1,2,1
30,106,1,2,1
31,106,3,4,1
32,106,4,5,1
33,106,4,5,1
34,106,4,5,1
35,106,5,6,1
36,106,8,9,1
37,106,9,10,1
38,106,15,18,2
39,106,22,25,2
40,106,27,30,2
41,106,31,34,2
42,106,33,36,2
43,106,36,39,2
44,106,45,50,4
45,106,51,59,6
46,106,59,69,7
47,106,71,82,8
48,106,96,108,9
49,106,120,135,11
50,106,152,169,11
51,106,180,201,14
52,106,204,232,15
53,106,246,281,17
54,106,275,318,22
55,106,304,360,31
56,106,369,432,36
57,106,435,513,49
58,106,504,599,59
59,106,570,692,77
60,106,629,780,96
61,106,702,888,122
62,106,756,979,140
63,106,806,1076,168
64,106,849,1175,205
65,106,900,1281,240
66,106,934,1371,280
67,106,959,1458,317
68,106,973,1530,354
69,106,994,1611,390
70,106,961,1668,435
71,106,934,1733,480
72,106,901,1786,514
73,106,887,1848,544
74,106,827,1881,586
75,106,764,1917,622
76,106,691,1941,656
77,106,647,1969,673
78,106,574,1987,706
79,106,496,1999,730
80,106,432,2018,759
81,106,382,2030,778
82,106,339,2044,793
83,106,307,2066,801
84,106,276,2081,808
85,106,256,2105,818
86,106,242,2123,824
87,106,225,2141,826
88,106,224,2170,832
89,106,209,2191,841
90,106,229,2230,847
91,106,246,2265,851
92,106,253,2297,866
93,106,288,2344,872
94,106,324,2404,882
95,106,361,2458,893
96,106,417,2534,905
97,106,472,2611,915
98,106,530,2692,927
99,106,607,2802,949
